comune,comune_normalized,regione,provincia,sigla_prov,lat,lon
Agliè,aglie,Piemonte,Torino,TO,45.367055,7.766918
Airasca,airasca,Piemonte,Torino,TO,44.917042,7.484321
Ala di Stura,ala di stura,Piemonte,Torino,TO,45.31515,7.305909
Albiano d'Ivrea,albiano d'ivrea,Piemonte,Torino,TO,45.432959,7.950621
Almese,almese,Piemonte,Torino,TO,45.116876,7.39455
Alpette,alpette,Piemonte,Torino,TO,45.408916,7.578978
Alpignano,alpignano,Piemonte,Torino,TO,45.095724,7.525403
Andezeno,andezeno,Piemonte,Torino,TO,45.037748,7.870527
Andrate,andrate,Piemonte,Torino,TO,45.52736,7.880318
Angrogna,angrogna,Piemonte,Torino,TO,44.843582,7.223816
Arignano,arignano,Piemonte,Torino,TO,45.040275,7.901594
Avigliana,avigliana,Piemonte,Torino,TO,45.077944,7.39839
Azeglio,azeglio,Piemonte,Torino,TO,45.423459,7.993922
Bairo,bairo,Piemonte,Torino,TO,45.386587,7.755447
Balangero,balangero,Piemonte,Torino,TO,45.275323,7.520282
Baldissero Canavese,baldissero canavese,Piemonte,Torino,TO,45.410256,7.744217
Baldissero Torinese,baldissero torinese,Piemonte,Torino,TO,45.068636,7.816531
Balme,balme,Piemonte,Torino,TO,45.302504,7.215432
Banchette,banchette,Piemonte,Torino,TO,45.453558,7.856318
Barbania,barbania,Piemonte,Torino,TO,45.291252,7.630317
Bardonecchia,bardonecchia,Piemonte,Torino,TO,45.078339,6.703205
Barone Canavese,barone canavese,Piemonte,Torino,TO,45.325527,7.873063
Beinasco,beinasco,Piemonte,Torino,TO,45.022097,7.579397
Bibiana,bibiana,Piemonte,Torino,TO,44.798937,7.288219
Bobbio Pellice,bobbio pellice,Piemonte,Torino,TO,44.807952,7.116764
Bollengo,bollengo,Piemonte,Torino,TO,45.470859,7.94202
Borgaro Torinese,borgaro torinese,Piemonte,Torino,TO,45.152145,7.657973
Borgiallo,borgiallo,Piemonte,Torino,TO,45.417055,7.668515
Borgofranco d'Ivrea,borgofranco d'ivrea,Piemonte,Torino,TO,45.51286,7.858017
Borgomasino,borgomasino,Piemonte,Torino,TO,45.363257,7.987523
Borgone Susa,borgone susa,Piemonte,Torino,TO,45.122844,7.239712
Bosconero,bosconero,Piemonte,Torino,TO,45.26755,7.7666
Brandizzo,brandizzo,Piemonte,Torino,TO,45.176606,7.838004
Bricherasio,bricherasio,Piemonte,Torino,TO,44.823409,7.305296
Brosso,brosso,Piemonte,Torino,TO,45.492502,7.803288
Brozolo,brozolo,Piemonte,Torino,TO,45.117436,8.073603
Bruino,bruino,Piemonte,Torino,TO,45.021152,7.468551
Brusasco,brusasco,Piemonte,Torino,TO,45.155492,8.060103
Bruzolo,bruzolo,Piemonte,Torino,TO,45.142226,7.195648
Buriasco,buriasco,Piemonte,Torino,TO,44.87364,7.41032
Burolo,burolo,Piemonte,Torino,TO,45.48116,7.93392
Busano,busano,Piemonte,Torino,TO,45.329438,7.655732
Bussoleno,bussoleno,Piemonte,Torino,TO,45.139271,7.147717
Buttigliera Alta,buttigliera alta,Piemonte,Torino,TO,45.068804,7.434488
Cafasse,cafasse,Piemonte,Torino,TO,45.24596,7.517235
Caluso,caluso,Piemonte,Torino,TO,45.304955,7.895722
Cambiano,cambiano,Piemonte,Torino,TO,44.971416,7.778698
Campiglione Fenile,campiglione fenile,Piemonte,Torino,TO,44.804598,7.322313
Candia Canavese,candia canavese,Piemonte,Torino,TO,45.327755,7.885121
Candiolo,candiolo,Piemonte,Torino,TO,44.959244,7.601722
Canischio,canischio,Piemonte,Torino,TO,45.373987,7.596126
Cantalupa,cantalupa,Piemonte,Torino,TO,44.945941,7.330317
Cantoira,cantoira,Piemonte,Torino,TO,45.343349,7.380124
Caprie,caprie,Piemonte,Torino,TO,45.118845,7.331914
Caravino,caravino,Piemonte,Torino,TO,45.398258,7.960322
Carema,carema,Piemonte,Torino,TO,45.583302,7.810406
Carignano,carignano,Piemonte,Torino,TO,44.906943,7.673225
Carmagnola,carmagnola,Piemonte,Torino,TO,44.846947,7.717874
Casalborgone,casalborgone,Piemonte,Torino,TO,45.130451,7.940426
Cascinette d'Ivrea,cascinette d'ivrea,Piemonte,Torino,TO,45.480159,7.905619
Caselette,caselette,Piemonte,Torino,TO,45.104746,7.480817
Caselle Torinese,caselle torinese,Piemonte,Torino,TO,45.17749,7.646367
Castagneto Po,castagneto po,Piemonte,Torino,TO,45.159251,7.889425
Castagnole Piemonte,castagnole piemonte,Piemonte,Torino,TO,44.898142,7.566123
Castellamonte,castellamonte,Piemonte,Torino,TO,45.381955,7.712117
Castelnuovo Nigra,castelnuovo nigra,Piemonte,Torino,TO,45.438156,7.694615
Castiglione Torinese,castiglione torinese,Piemonte,Torino,TO,45.11905,7.807124
Cavagnolo,cavagnolo,Piemonte,Torino,TO,45.152137,8.051479
Cavour,cavour,Piemonte,Torino,TO,44.785499,7.373841
Cercenasco,cercenasco,Piemonte,Torino,TO,44.861291,7.50127
Ceres,ceres,Piemonte,Torino,TO,45.313377,7.389688
Ceresole Reale,ceresole reale,Piemonte,Torino,TO,45.431952,7.235706
Cesana Torinese,cesana torinese,Piemonte,Torino,TO,44.952236,6.790805
Chialamberto,chialamberto,Piemonte,Torino,TO,45.363669,7.341471
Chianocco,chianocco,Piemonte,Torino,TO,45.148094,7.16933
Chiaverano,chiaverano,Piemonte,Torino,TO,45.49886,7.902619
Chieri,chieri,Piemonte,Torino,TO,45.013884,7.822354
Chiesanuova,chiesanuova,Piemonte,Torino,TO,45.417886,7.655795
Chiomonte,chiomonte,Piemonte,Torino,TO,45.119542,6.985306
Chiusa di San Michele,chiusa di san michele,Piemonte,Torino,TO,45.103913,7.326972
Chivasso,chivasso,Piemonte,Torino,TO,45.190959,7.887186
Ciconio,ciconio,Piemonte,Torino,TO,45.329915,7.759492
Cintano,cintano,Piemonte,Torino,TO,45.428556,7.688115
Cinzano,cinzano,Piemonte,Torino,TO,45.09425,7.925627
Ciriè,cirie,Piemonte,Torino,TO,45.235277,7.600308
Claviere,claviere,Piemonte,Torino,TO,44.938799,6.750294
Coassolo Torinese,coassolo torinese,Piemonte,Torino,TO,45.297583,7.460458
Coazze,coazze,Piemonte,Torino,TO,45.052194,7.297902
Collegno,collegno,Piemonte,Torino,TO,45.077547,7.572426
Colleretto Castelnuovo,colleretto castelnuovo,Piemonte,Torino,TO,45.422356,7.679815
Colleretto Giacosa,colleretto giacosa,Piemonte,Torino,TO,45.431887,7.799591
Condove,condove,Piemonte,Torino,TO,45.117419,7.309455
Corio,corio,Piemonte,Torino,TO,45.313499,7.532087
Cossano Canavese,cossano canavese,Piemonte,Torino,TO,45.387758,7.991523
Cuceglio,cuceglio,Piemonte,Torino,TO,45.359435,7.815187
Cumiana,cumiana,Piemonte,Torino,TO,44.979742,7.376717
Cuorgnè,cuorgne,Piemonte,Torino,TO,45.38972,7.649817
Druento,druento,Piemonte,Torino,TO,45.134748,7.576618
Exilles,exilles,Piemonte,Torino,TO,45.097383,6.929065
Favria,favria,Piemonte,Torino,TO,45.331154,7.690617
Feletto,feletto,Piemonte,Torino,TO,45.303853,7.744719
Fenestrelle,fenestrelle,Piemonte,Torino,TO,45.036095,7.049562
Fiano,fiano,Piemonte,Torino,TO,45.216871,7.522685
Fiorano Canavese,fiorano canavese,Piemonte,Torino,TO,45.467758,7.833718
Foglizzo,foglizzo,Piemonte,Torino,TO,45.271272,7.822265
Forno Canavese,forno canavese,Piemonte,Torino,TO,45.345353,7.591015
Frassinetto,frassinetto,Piemonte,Torino,TO,45.437142,7.606743
Front,front,Piemonte,Torino,TO,45.280852,7.663618
Frossasco,frossasco,Piemonte,Torino,TO,44.932944,7.350218
Garzigliana,garzigliana,Piemonte,Torino,TO,44.837239,7.37442
Gassino Torinese,gassino torinese,Piemonte,Torino,TO,45.13165,7.827624
Germagnano,germagnano,Piemonte,Torino,TO,45.263872,7.469483
Giaglione,giaglione,Piemonte,Torino,TO,45.140239,7.014756
Giaveno,giaveno,Piemonte,Torino,TO,45.042005,7.351994
Givoletto,givoletto,Piemonte,Torino,TO,45.162248,7.496416
Gravere,gravere,Piemonte,Torino,TO,45.125342,7.017507
Groscavallo,groscavallo,Piemonte,Torino,TO,45.369225,7.233967
Grosso,grosso,Piemonte,Torino,TO,45.257502,7.557907
Grugliasco,grugliasco,Piemonte,Torino,TO,45.068046,7.57762
Ingria,ingria,Piemonte,Torino,TO,45.466468,7.570917
Inverso Pinasca,inverso pinasca,Piemonte,Torino,TO,44.94564,7.218414
Isolabella,isolabella,Piemonte,Torino,TO,44.906727,7.910151
Issiglio,issiglio,Piemonte,Torino,TO,45.446934,7.752122
Ivrea,ivrea,Piemonte,Torino,TO,45.467379,7.874797
La Cassa,la cassa,Piemonte,Torino,TO,45.180348,7.516316
La Loggia,la loggia,Piemonte,Torino,TO,44.957744,7.667324
Lanzo Torinese,lanzo torinese,Piemonte,Torino,TO,45.27335,7.477411
Lauriano,lauriano,Piemonte,Torino,TO,45.158252,7.991627
Leini,leini,Piemonte,Torino,TO,45.184582,7.713271
Lemie,lemie,Piemonte,Torino,TO,45.228199,7.292044
Lessolo,lessolo,Piemonte,Torino,TO,45.478258,7.814717
Levone,levone,Piemonte,Torino,TO,45.318202,7.606187
Locana,locana,Piemonte,Torino,TO,45.417654,7.458814
Lombardore,lombardore,Piemonte,Torino,TO,45.235452,7.74032
Lombriasco,lombriasco,Piemonte,Torino,TO,44.840941,7.635925
Loranzè,loranze,Piemonte,Torino,TO,45.441657,7.812718
Luserna San Giovanni,luserna san giovanni,Piemonte,Torino,TO,44.815437,7.251318
Lusernetta,lusernetta,Piemonte,Torino,TO,44.803137,7.246718
Lusigliè,lusiglie,Piemonte,Torino,TO,45.318401,7.766652
Macello,macello,Piemonte,Torino,TO,44.851139,7.39802
Maglione,maglione,Piemonte,Torino,TO,45.346657,8.013324
Marentino,marentino,Piemonte,Torino,TO,45.058032,7.874623
Massello,massello,Piemonte,Torino,TO,44.967557,7.026199
Mathi,mathi,Piemonte,Torino,TO,45.255172,7.541984
Mattie,mattie,Piemonte,Torino,TO,45.118143,7.115109
Mazzè,mazze,Piemonte,Torino,TO,45.300255,7.932723
Meana di Susa,meana di susa,Piemonte,Torino,TO,45.122043,7.064708
Mercenasco,mercenasco,Piemonte,Torino,TO,45.357182,7.882359
Mezzenile,mezzenile,Piemonte,Torino,TO,45.295129,7.394459
Mombello di Torino,mombello di torino,Piemonte,Torino,TO,45.045749,7.920827
Mompantero,mompantero,Piemonte,Torino,TO,45.142043,7.064609
Monastero di Lanzo,monastero di lanzo,Piemonte,Torino,TO,45.301873,7.439681
Moncalieri,moncalieri,Piemonte,Torino,TO,45.000461,7.684754
Moncenisio,moncenisio,Piemonte,Torino,TO,45.205285,6.9825
Montaldo Torinese,montaldo torinese,Piemonte,Torino,TO,45.065487,7.849601
Montalenghe,montalenghe,Piemonte,Torino,TO,45.337455,7.83882
Montalto Dora,montalto dora,Piemonte,Torino,TO,45.490759,7.862818
Montanaro,montanaro,Piemonte,Torino,TO,45.233553,7.853323
Monteu da Po,monteu da po,Piemonte,Torino,TO,45.1509,8.016847
Moriondo Torinese,moriondo torinese,Piemonte,Torino,TO,45.037649,7.940028
Nichelino,nichelino,Piemonte,Torino,TO,44.995518,7.646618
Noasca,noasca,Piemonte,Torino,TO,45.453972,7.314554
Nole,nole,Piemonte,Torino,TO,45.243991,7.572752
Nomaglio,nomaglio,Piemonte,Torino,TO,45.53616,7.860317
,,Piemonte,Torino,TO,44.933143,7.540121
Novalesa,novalesa,Piemonte,Torino,TO,45.18964,7.015498
Oglianico,oglianico,Piemonte,Torino,TO,45.342554,7.693717
Orbassano,orbassano,Piemonte,Torino,TO,45.007263,7.536919
Orio Canavese,orio canavese,Piemonte,Torino,TO,45.329255,7.861721
Osasco,osasco,Piemonte,Torino,TO,44.849368,7.343243
Osasio,osasio,Piemonte,Torino,TO,44.871442,7.608024
Oulx,oulx,Piemonte,Torino,TO,45.033052,6.83251
Ozegna,ozegna,Piemonte,Torino,TO,45.34929,7.742524
Palazzo Canavese,palazzo canavese,Piemonte,Torino,TO,45.459259,7.978921
Pancalieri,pancalieri,Piemonte,Torino,TO,44.833441,7.585924
Parella,parella,Piemonte,Torino,TO,45.430657,7.793217
Pavarolo,pavarolo,Piemonte,Torino,TO,45.072466,7.834671
Pavone Canavese,pavone canavese,Piemonte,Torino,TO,45.437559,7.851715
Pecetto Torinese,pecetto torinese,Piemonte,Torino,TO,45.016883,7.749949
Perosa Argentina,perosa argentina,Piemonte,Torino,TO,44.95744,7.190914
Perosa Canavese,perosa canavese,Piemonte,Torino,TO,45.397057,7.830819
Perrero,perrero,Piemonte,Torino,TO,44.918212,7.129109
Pertusio,pertusio,Piemonte,Torino,TO,45.356788,7.638501
Pessinetto,pessinetto,Piemonte,Torino,TO,45.289093,7.404162
Pianezza,pianezza,Piemonte,Torino,TO,45.105847,7.543418
Pinasca,pinasca,Piemonte,Torino,TO,44.94264,7.229115
Pinerolo,pinerolo,Piemonte,Torino,TO,44.887309,7.331945
Pino Torinese,pino torinese,Piemonte,Torino,TO,45.039547,7.777125
Piobesi Torinese,piobesi torinese,Piemonte,Torino,TO,44.932943,7.610123
Piossasco,piossasco,Piemonte,Torino,TO,44.990555,7.463704
Piscina,piscina,Piemonte,Torino,TO,44.919442,7.426212
Piverone,piverone,Piemonte,Torino,TO,45.446259,8.005722
Poirino,poirino,Piemonte,Torino,TO,44.920845,7.846928
Pomaretto,pomaretto,Piemonte,Torino,TO,44.955983,7.182779
Pont Canavese,pont canavese,Piemonte,Torino,TO,45.420526,7.596855
Porte,porte,Piemonte,Torino,TO,44.887293,7.267971
Pragelato,pragelato,Piemonte,Torino,TO,44.981486,6.93916
Prali,prali,Piemonte,Torino,TO,44.881073,7.052439
Pralormo,pralormo,Piemonte,Torino,TO,44.859744,7.901431
Pramollo,pramollo,Piemonte,Torino,TO,44.905039,7.206508
Prarostino,prarostino,Piemonte,Torino,TO,44.865792,7.268223
Prascorsano,prascorsano,Piemonte,Torino,TO,45.367754,7.616915
Pratiglione,pratiglione,Piemonte,Torino,TO,45.352753,7.596015
Quagliuzzo,quagliuzzo,Piemonte,Torino,TO,45.426757,7.781617
Quassolo,quassolo,Piemonte,Torino,TO,45.52286,7.832317
Quincinetto,quincinetto,Piemonte,Torino,TO,45.56296,7.807315
Reano,reano,Piemonte,Torino,TO,45.052056,7.430403
Ribordone,ribordone,Piemonte,Torino,TO,45.43204,7.50195
Rivalba,rivalba,Piemonte,Torino,TO,45.11835,7.888125
Rivalta di Torino,rivalta di torino,Piemonte,Torino,TO,45.034045,7.518419
Riva presso Chieri,riva presso chieri,Piemonte,Torino,TO,44.984974,7.872319
Rivara,rivara,Piemonte,Torino,TO,45.332553,7.632916
Rivarolo Canavese,rivarolo canavese,Piemonte,Torino,TO,45.331216,7.717134
Rivarossa,rivarossa,Piemonte,Torino,TO,45.250965,7.717845
Rivoli,rivoli,Piemonte,Torino,TO,45.069715,7.517676
Robassomero,robassomero,Piemonte,Torino,TO,45.200049,7.568917
Rocca Canavese,rocca canavese,Piemonte,Torino,TO,45.308854,7.575863
Roletto,roletto,Piemonte,Torino,TO,44.924691,7.331324
Romano Canavese,romano canavese,Piemonte,Torino,TO,45.388657,7.86652
Ronco Canavese,ronco canavese,Piemonte,Torino,TO,45.499737,7.546855
Rondissone,rondissone,Piemonte,Torino,TO,45.246854,7.963125
Rorà,rora,Piemonte,Torino,TO,44.792136,7.199017
Roure,roure,Piemonte,Torino,TO,45.001413,7.129432
Rosta,rosta,Piemonte,Torino,TO,45.067945,7.465117
Rubiana,rubiana,Piemonte,Torino,TO,45.137946,7.38483
Rueglio,rueglio,Piemonte,Torino,TO,45.468258,7.754616
Salassa,salassa,Piemonte,Torino,TO,45.358526,7.689238
Salbertrand,salbertrand,Piemonte,Torino,TO,45.07204,6.883205
Salerano Canavese,salerano canavese,Piemonte,Torino,TO,45.458058,7.851118
Salza di Pinerolo,salza di pinerolo,Piemonte,Torino,TO,44.934635,7.034467
Samone,samone,Piemonte,Torino,TO,45.450554,7.845243
San Benigno Canavese,san benigno canavese,Piemonte,Torino,TO,45.227052,7.785021
San Carlo Canavese,san carlo canavese,Piemonte,Torino,TO,45.247826,7.610843
San Colombano Belmonte,san colombano belmonte,Piemonte,Torino,TO,45.382254,7.621015
San Didero,san didero,Piemonte,Torino,TO,45.135444,7.213011
San Francesco al Campo,san francesco al campo,Piemonte,Torino,TO,45.226467,7.657164
Sangano,sangano,Piemonte,Torino,TO,45.026144,7.448118
San Germano Chisone,san germano chisone,Piemonte,Torino,TO,44.89855,7.241175
San Gillio,san gillio,Piemonte,Torino,TO,45.142748,7.535817
San Giorgio Canavese,san giorgio canavese,Piemonte,Torino,TO,45.334155,7.796819
San Giorio di Susa,san giorio di susa,Piemonte,Torino,TO,45.127982,7.177985
San Giusto Canavese,san giusto canavese,Piemonte,Torino,TO,45.315154,7.80912
San Martino Canavese,san martino canavese,Piemonte,Torino,TO,45.39435,7.816559
San Maurizio Canavese,san maurizio canavese,Piemonte,Torino,TO,45.216676,7.631241
San Mauro Torinese,san mauro torinese,Piemonte,Torino,TO,45.104412,7.761996
San Pietro Val Lemina,san pietro val lemina,Piemonte,Torino,TO,44.90654,7.310917
San Ponso,san ponso,Piemonte,Torino,TO,45.350754,7.670316
San Raffaele Cimena,san raffaele cimena,Piemonte,Torino,TO,45.146651,7.849324
San Sebastiano da Po,san sebastiano da po,Piemonte,Torino,TO,45.167552,7.957226
San Secondo di Pinerolo,san secondo di pinerolo,Piemonte,Torino,TO,44.867222,7.298167
Sant'Ambrogio di Torino,sant'ambrogio di torino,Piemonte,Torino,TO,45.099445,7.362315
Sant'Antonino di Susa,sant'antonino di susa,Piemonte,Torino,TO,45.107044,7.273613
Santena,santena,Piemonte,Torino,TO,44.949111,7.771811
Sauze di Cesana,sauze di cesana,Piemonte,Torino,TO,44.940736,6.859007
Sauze d'Oulx,sauze d'oulx,Piemonte,Torino,TO,45.027027,6.858346
Scalenghe,scalenghe,Piemonte,Torino,TO,44.891741,7.492521
Scarmagno,scarmagno,Piemonte,Torino,TO,45.384456,7.841119
Sciolze,sciolze,Piemonte,Torino,TO,45.09325,7.880426
Sestriere,sestriere,Piemonte,Torino,TO,44.958453,6.878686
Settimo Rottaro,settimo rottaro,Piemonte,Torino,TO,45.407758,7.993522
Settimo Torinese,settimo torinese,Piemonte,Torino,TO,45.137335,7.771015
Settimo Vittone,settimo vittone,Piemonte,Torino,TO,45.54976,7.832216
Sparone,sparone,Piemonte,Torino,TO,45.413854,7.543412
Strambinello,strambinello,Piemonte,Torino,TO,45.422696,7.768436
Strambino,strambino,Piemonte,Torino,TO,45.381457,7.88572
Susa,susa,Piemonte,Torino,TO,45.137212,7.053979
Tavagnasco,tavagnasco,Piemonte,Torino,TO,45.543965,7.822041
Torino,torino,Piemonte,Torino,TO,45.067755,7.682489
Torrazza Piemonte,torrazza piemonte,Piemonte,Torino,TO,45.215422,7.974503
Torre Canavese,torre canavese,Piemonte,Torino,TO,45.392056,7.759818
Torre Pellice,torre pellice,Piemonte,Torino,TO,44.820768,7.223715
Trana,trana,Piemonte,Torino,TO,45.039044,7.421817
Traversella,traversella,Piemonte,Torino,TO,45.508458,7.749415
Traves,traves,Piemonte,Torino,TO,45.270612,7.428858
Trofarello,trofarello,Piemonte,Torino,TO,44.983646,7.745225
Usseaux,usseaux,Piemonte,Torino,TO,45.048941,7.028508
Usseglio,usseglio,Piemonte,Torino,TO,45.233197,7.217735
Vaie,vaie,Piemonte,Torino,TO,45.102344,7.289413
Val della Torre,val della torre,Piemonte,Torino,TO,45.155147,7.445015
Valgioie,valgioie,Piemonte,Torino,TO,45.076144,7.340715
Vallo Torinese,vallo torinese,Piemonte,Torino,TO,45.224745,7.495566
Valperga,valperga,Piemonte,Torino,TO,45.370616,7.656916
Valprato Soana,valprato soana,Piemonte,Torino,TO,45.521481,7.549355
Varisella,varisella,Piemonte,Torino,TO,45.209941,7.488606
Vauda Canavese,vauda canavese,Piemonte,Torino,TO,45.279952,7.620217
Venaus,venaus,Piemonte,Torino,TO,45.15491,7.01257
Venaria Reale,venaria reale,Piemonte,Torino,TO,45.134811,7.626866
Verolengo,verolengo,Piemonte,Torino,TO,45.190053,7.968226
Verrua Savoia,verrua savoia,Piemonte,Torino,TO,45.156707,8.092761
Vestignè,vestigne,Piemonte,Torino,TO,45.385757,7.954822
Vialfrè,vialfre,Piemonte,Torino,TO,45.381019,7.817828
Vidracco,vidracco,Piemonte,Torino,TO,45.430657,7.757417
Vigone,vigone,Piemonte,Torino,TO,44.843067,7.494438
Villafranca Piemonte,villafranca piemonte,Piemonte,Torino,TO,44.778939,7.500424
Villanova Canavese,villanova canavese,Piemonte,Torino,TO,45.242575,7.554506
Villarbasse,villarbasse,Piemonte,Torino,TO,45.045145,7.468418
Villar Dora,villar dora,Piemonte,Torino,TO,45.114646,7.383515
Villareggia,villareggia,Piemonte,Torino,TO,45.310056,7.976624
Villar Focchiardo,villar focchiardo,Piemonte,Torino,TO,45.111389,7.224725
Villar Pellice,villar pellice,Piemonte,Torino,TO,44.807903,7.15758
Villar Perosa,villar perosa,Piemonte,Torino,TO,44.919056,7.250286
Villastellone,villastellone,Piemonte,Torino,TO,44.918612,7.744347
Vinovo,vinovo,Piemonte,Torino,TO,44.94839,7.633929
Virle Piemonte,virle piemonte,Piemonte,Torino,TO,44.864541,7.570123
Vische,vische,Piemonte,Torino,TO,45.335589,7.944818
Vistrorio,vistrorio,Piemonte,Torino,TO,45.442344,7.768145
Viù,viu,Piemonte,Torino,TO,45.23916,7.37584
Volpiano,volpiano,Piemonte,Torino,TO,45.201451,7.778222
Volvera,volvera,Piemonte,Torino,TO,44.956464,7.511052
Mappano,mappano,Piemonte,Torino,TO,45.147801,7.706099
Val di Chy,val di chy,Piemonte,Torino,TO,45.461125,7.79283
Valchiusa,valchiusa,Piemonte,Torino,TO,45.497263,7.741327
Alagna Valsesia,alagna valsesia,Piemonte,Vercelli,VC,45.851211,7.937177
Albano Vercellese,albano vercellese,Piemonte,Vercelli,VC,45.425307,8.380994
Alice Castello,alice castello,Piemonte,Vercelli,VC,45.365158,8.072925
Arborio,arborio,Piemonte,Vercelli,VC,45.494964,8.385329
Asigliano Vercellese,asigliano vercellese,Piemonte,Vercelli,VC,45.261578,8.408501
Balmuccia,balmuccia,Piemonte,Vercelli,VC,45.818849,8.138102
Balocco,balocco,Piemonte,Vercelli,VC,45.455262,8.280128
Bianzè,bianze,Piemonte,Vercelli,VC,45.308457,8.122527
Boccioleto,boccioleto,Piemonte,Vercelli,VC,45.830189,8.112881
Borgo d'Ale,borgo d'ale,Piemonte,Vercelli,VC,45.349435,8.053102
Borgosesia,borgosesia,Piemonte,Vercelli,VC,45.716668,8.276857
Borgo Vercelli,borgo vercelli,Piemonte,Vercelli,VC,45.357862,8.463033
Buronzo,buronzo,Piemonte,Vercelli,VC,45.480862,8.267128
Campertogno,campertogno,Piemonte,Vercelli,VC,45.798953,8.032153
Carcoforo,carcoforo,Piemonte,Vercelli,VC,45.90875,8.049537
Caresana,caresana,Piemonte,Vercelli,VC,45.221263,8.506924
Caresanablot,caresanablot,Piemonte,Vercelli,VC,45.357613,8.388842
Carisio,carisio,Piemonte,Vercelli,VC,45.40936,8.199027
Casanova Elvo,casanova elvo,Piemonte,Vercelli,VC,45.400961,8.293529
San Giacomo Vercellese,san giacomo vercellese,Piemonte,Vercelli,VC,45.497859,8.326139
Cervatto,cervatto,Piemonte,Vercelli,VC,45.882966,8.162347
Cigliano,cigliano,Piemonte,Vercelli,VC,45.308356,8.021025
Civiasco,civiasco,Piemonte,Vercelli,VC,45.80819,8.294116
Collobiano,collobiano,Piemonte,Vercelli,VC,45.396683,8.348284
Costanzana,costanzana,Piemonte,Vercelli,VC,45.238158,8.368134
Cravagliana,cravagliana,Piemonte,Vercelli,VC,45.848385,8.20269
Crescentino,crescentino,Piemonte,Vercelli,VC,45.190454,8.099929
Crova,crova,Piemonte,Vercelli,VC,45.330659,8.210828
Desana,desana,Piemonte,Vercelli,VC,45.268822,8.356728
Fobello,fobello,Piemonte,Vercelli,VC,45.889425,8.15868
Fontanetto Po,fontanetto po,Piemonte,Vercelli,VC,45.193464,8.191925
Formigliana,formigliana,Piemonte,Vercelli,VC,45.429262,8.291928
Gattinara,gattinara,Piemonte,Vercelli,VC,45.614242,8.371138
Ghislarengo,ghislarengo,Piemonte,Vercelli,VC,45.528823,8.386128
Greggio,greggio,Piemonte,Vercelli,VC,45.450663,8.38303
Guardabosone,guardabosone,Piemonte,Vercelli,VC,45.701868,8.249322
Lamporo,lamporo,Piemonte,Vercelli,VC,45.231855,8.101628
Lenta,lenta,Piemonte,Vercelli,VC,45.557466,8.384128
Lignana,lignana,Piemonte,Vercelli,VC,45.28553,8.346124
Livorno Ferraris,livorno ferraris,Piemonte,Vercelli,VC,45.281912,8.080548
Lozzolo,lozzolo,Piemonte,Vercelli,VC,45.625643,8.321774
Mollia,mollia,Piemonte,Vercelli,VC,45.816669,8.030315
Moncrivello,moncrivello,Piemonte,Vercelli,VC,45.332357,7.995524
Motta de' Conti,motta de' conti,Piemonte,Vercelli,VC,45.193343,8.520934
Olcenengo,olcenengo,Piemonte,Vercelli,VC,45.36346,8.30983
Oldenico,oldenico,Piemonte,Vercelli,VC,45.402755,8.380327
Palazzolo Vercellese,palazzolo vercellese,Piemonte,Vercelli,VC,45.186255,8.232632
Pertengo,pertengo,Piemonte,Vercelli,VC,45.236394,8.417401
Pezzana,pezzana,Piemonte,Vercelli,VC,45.261959,8.482279
Pila,pila,Piemonte,Vercelli,VC,45.769944,8.08108
Piode,piode,Piemonte,Vercelli,VC,45.770751,8.051076
Postua,postua,Piemonte,Vercelli,VC,45.713604,8.23059
Prarolo,prarolo,Piemonte,Vercelli,VC,45.282293,8.478118
Quarona,quarona,Piemonte,Vercelli,VC,45.757869,8.265721
Quinto Vercellese,quinto vercellese,Piemonte,Vercelli,VC,45.379661,8.361731
Rassa,rassa,Piemonte,Vercelli,VC,45.768473,8.013068
Rimella,rimella,Piemonte,Vercelli,VC,45.907567,8.182504
Rive,rive,Piemonte,Vercelli,VC,45.212906,8.417704
Roasio,roasio,Piemonte,Vercelli,VC,45.608019,8.288012
Ronsecco,ronsecco,Piemonte,Vercelli,VC,45.253126,8.27781
Rossa,rossa,Piemonte,Vercelli,VC,45.833501,8.125529
Rovasenda,rovasenda,Piemonte,Vercelli,VC,45.538765,8.317527
Salasco,salasco,Piemonte,Vercelli,VC,45.325559,8.26423
Sali Vercellese,sali vercellese,Piemonte,Vercelli,VC,45.309859,8.328931
Saluggia,saluggia,Piemonte,Vercelli,VC,45.237554,8.011026
San Germano Vercellese,san germano vercellese,Piemonte,Vercelli,VC,45.350031,8.248779
Santhià,santhia,Piemonte,Vercelli,VC,45.366259,8.172627
Scopa,scopa,Piemonte,Vercelli,VC,45.792678,8.113367
Scopello,scopello,Piemonte,Vercelli,VC,45.772756,8.094058
Serravalle Sesia,serravalle sesia,Piemonte,Vercelli,VC,45.685568,8.310924
Stroppiana,stroppiana,Piemonte,Vercelli,VC,45.230246,8.453732
Tricerro,tricerro,Piemonte,Vercelli,VC,45.235757,8.325333
Trino,trino,Piemonte,Vercelli,VC,45.19394,8.296987
Tronzano Vercellese,tronzano vercellese,Piemonte,Vercelli,VC,45.341258,8.173027
Valduggia,valduggia,Piemonte,Vercelli,VC,45.728369,8.329923
Varallo,varallo,Piemonte,Vercelli,VC,45.813731,8.259211
Vercelli,vercelli,Piemonte,Vercelli,VC,45.555383,8.346284
Villarboit,villarboit,Piemonte,Vercelli,VC,45.437362,8.337329
